100000	36.8	4.0	2.47e+03	0.64	0.22	8.08	9.38	0.64
100000	36.8	4.5	2.47e+03	0.26	0.07	5.05	18.14	1.22
100000	36.9	3.5	3.11e+03	2.29	0.95	16.29	5.73	0.38
100000	36.9	4.0	3.11e+03	0.67	0.23	8.85	10.66	0.73
100000	36.9	4.5	3.11e+03	0.26	0.07	5.36	19.81	1.33
100000	37.0	3.5	3.92e+03	2.39	0.99	18.55	6.81	0.46
100000	37.0	4.0	3.92e+03	0.70	0.24	9.70	12.10	0.83
100000	37.0	4.5	3.92e+03	0.27	0.08	5.66	21.53	1.44
100000	37.1	3.5	4.94e+03	2.51	1.04	21.10	8.08	0.54
100000	37.1	4.0	4.94e+03	0.72	0.25	10.60	13.66	0.94
100000	37.1	4.5	4.94e+03	0.27	0.08	6.00	23.40	1.56
100000	37.2	3.5	6.21e+03	2.64	1.10	23.94	9.54	0.65
100000	37.2	4.0	6.21e+03	0.76	0.26	11.61	15.44	1.07
100000	37.2	4.5	6.21e+03	0.28	0.08	6.34	25.40	1.69
100000	37.3	3.5	7.82e+03	2.77	1.15	27.08	11.23	0.77
100000	37.3	4.0	7.82e+03	0.79	0.27	12.72	17.41	1.21
100000	37.3	4.5	7.82e+03	0.28	0.08	6.72	27.56	1.84
100000	37.4	3.5	9.85e+03	2.90	1.21	30.52	13.14	0.90
100000	37.4	4.0	9.85e+03	0.83	0.29	13.91	19.57	1.37
100000	37.4	4.5	9.85e+03	0.29	0.08	7.11	29.84	1.98
100000	37.5	3.5	1.24e+04	3.05	1.27	34.32	15.31	1.06
100000	37.5	4.0	1.24e+04	0.88	0.30	15.18	21.92	1.54
100000	37.5	4.5	1.24e+04	0.29	0.08	7.52	32.23	2.14
100000	37.6	3.5	1.56e+04	3.21	1.33	38.47	17.77	1.23
100000	37.6	4.0	1.56e+04	0.92	0.31	16.54	24.45	1.73
100000	37.6	4.5	1.56e+04	0.30	0.09	7.95	34.71	2.30
120000	36.6	3.5	1.07e+03	2.01	0.82	10.22	3.04	0.20
120000	36.6	4.0	1.07e+03	0.61	0.21	6.52	6.82	0.46
120000	36.6	4.5	1.07e+03	0.25	0.07	4.37	14.66	0.98
120000	36.7	3.5	1.35e+03	2.11	0.87	11.77	3.64	0.24
120000	36.7	4.0	1.35e+03	0.63	0.22	7.15	7.71	0.52
120000	36.7	4.5	1.35e+03	0.26	0.07	4.67	16.09	1.08
120000	36.8	3.5	1.70e+03	2.22	0.91	13.49	4.34	0.29
120000	36.8	4.0	1.70e+03	0.66	0.23	7.82	8.69	0.59
120000	36.8	4.5	1.70e+03	0.26	0.07	4.96	17.54	1.18
120000	36.9	3.5	2.14e+03	2.33	0.96	15.45	5.18	0.34
120000	36.9	4.0	2.14e+03	0.68	0.24	8.58	9.85	0.68
120000	36.9	4.5	2.14e+03	0.27	0.08	5.25	19.03	1.28
120000	37.0	3.5	2.70e+03	2.45	1.01	17.64	6.16	0.41
120000	37.0	4.0	2.70e+03	0.71	0.25	9.37	11.11	0.77
120000	37.0	4.5	2.70e+03	0.27	0.08	5.57	20.65	1.39
120000	37.1	3.5	3.39e+03	2.57	1.06	20.08	7.30	0.49
120000	37.1	4.0	3.39e+03	0.75	0.26	10.28	12.58	0.87
120000	37.1	4.5	3.39e+03	0.28	0.08	5.87	22.27	1.50
120000	37.2	3.5	4.27e+03	2.70	1.12	22.79	8.63	0.58
120000	37.2	4.0	4.27e+03	0.78	0.27	11.24	14.16	0.99
120000	37.2	4.5	4.27e+03	0.28	0.08	6.21	24.04	1.62
120000	37.3	3.5	5.38e+03	2.84	1.17	25.79	10.15	0.69
120000	37.3	4.0	5.38e+03	0.82	0.28	12.31	15.97	1.12
120000	37.3	4.5	5.38e+03	0.29	0.08	6.56	25.92	1.75
120000	37.4	3.5	6.77e+03	2.99	1.24	29.16	11.92	0.82
120000	37.4	4.0	6.77e+03	0.86	0.29	13.44	17.92	1.26
120000	37.4	4.5	6.77e+03	0.30	0.08	6.93	27.94	1.88
120000	37.5	3.5	8.52e+03	3.14	1.30	32.83	13.91	0.96
120000	37.5	4.0	8.53e+03	0.90	0.31	14.67	20.07	1.42
120000	37.5	4.5	8.53e+03	0.30	0.09	7.32	30.12	2.03
120000	37.6	3.5	1.07e+04	3.31	1.36	36.84	16.16	1.12
120000	37.6	4.0	1.07e+04	0.95	0.32	16.03	22.46	1.59
120000	37.6	4.5	1.07e+04	0.31	0.09	7.76	32.52	2.19
140000	36.6	3.5	7.15e+02	2.04	0.83	9.92	3.45	0.23
140000	36.6	4.0	7.15e+02	0.62	0.22	6.43	7.30	0.48
140000	36.6	4.5	7.15e+02	0.26	0.07	4.35	15.33	1.00
140000	36.7	3.5	9.00e+02	2.14	0.88	11.43	4.04	0.27
140000	36.7	4.0	9.00e+02	0.65	0.22	7.05	8.14	0.54
140000	36.7	4.5	9.00e+02	0.26	0.07	4.64	16.69	1.09
140000	36.8	3.5	1.13e+03	2.26	0.93	13.15	4.73	0.32
140000	36.8	4.0	1.13e+03	0.67	0.23	7.74	9.08	0.61
140000	36.8	4.5	1.13e+03	0.27	0.08	4.94	18.09	1.19
140000	36.9	3.5	1.43e+03	2.38	0.98	15.06	5.54	0.38
140000	36.9	4.0	1.43e+03	0.70	0.24	8.49	10.13	0.69
140000	36.9	4.5	1.43e+03	0.28	0.08	5.25	19.56	1.29
140000	37.0	3.5	1.80e+03	2.51	1.03	17.23	6.48	0.44
140000	37.0	4.0	1.80e+03	0.74	0.25	9.30	11.30	0.77
140000	37.0	4.5	1.80e+03	0.28	0.08	5.55	21.04	1.39
140000	37.1	3.5	2.26e+03	2.64	1.09	19.65	7.57	0.52
140000	37.1	4.0	2.26e+03	0.77	0.26	10.17	12.59	0.87
140000	37.1	4.5	2.26e+03	0.29	0.08	5.87	22.61	1.49
140000	37.2	3.5	2.85e+03	2.79	1.15	22.35	8.83	0.61
140000	37.2	4.0	2.85e+03	0.81	0.28	11.12	14.02	0.97
140000	37.2	4.5	2.85e+03	0.29	0.08	6.20	24.22	1.60
140000	37.3	3.5	3.58e+03	2.94	1.21	25.35	10.27	0.71
140000	37.3	4.0	3.58e+03	0.85	0.29	12.15	15.60	1.09
140000	37.3	4.5	3.58e+03	0.30	0.08	6.56	26.00	1.73
140000	37.4	3.5	4.51e+03	3.09	1.27	28.67	11.93	0.83
140000	37.4	4.0	4.51e+03	0.90	0.30	13.29	17.38	1.23
140000	37.4	4.5	4.51e+03	0.31	0.09	6.92	27.78	1.85
140000	37.5	3.5	5.68e+03	3.26	1.34	32.34	13.82	0.96
140000	37.5	4.0	5.68e+03	0.95	0.32	14.51	19.33	1.37
140000	37.5	4.5	5.68e+03	0.31	0.09	7.30	29.67	1.99
140000	37.6	3.5	7.15e+03	3.45	1.41	36.47	16.00	1.12
140000	37.6	4.0	7.15e+03	1.01	0.34	15.83	21.48	1.53
140000	37.6	4.5	7.15e+03	0.32	0.09	7.71	31.66	2.13
160000	36.6	3.5	4.82e+02	2.04	0.83	10.23	5.08	0.36
160000	36.6	4.0	4.82e+02	0.63	0.22	6.55	8.94	0.58
160000	36.6	4.5	4.82e+02	0.27	0.07	4.42	17.30	1.07
160000	36.7	3.5	6.06e+02	2.15	0.88	11.83	5.95	0.42
160000	36.7	4.0	6.06e+02	0.65	0.23	7.19	9.99	0.65
160000	36.7	4.5	6.07e+02	0.27	0.08	4.73	18.83	1.17
160000	36.8	3.5	7.63e+02	2.26	0.93	13.65	6.97	0.50
160000	36.8	4.0	7.64e+02	0.68	0.23	7.89	11.15	0.73
160000	36.8	4.5	7.64e+02	0.28	0.08	5.04	20.43	1.27
160000	36.9	3.5	9.61e+02	2.39	0.98	15.68	8.16	0.58
160000	36.9	4.0	9.61e+02	0.71	0.24	8.67	12.47	0.82
160000	36.9	4.5	9.61e+02	0.28	0.08	5.35	22.07	1.37
160000	37.0	3.5	1.21e+03	2.52	1.03	17.95	9.54	0.68
160000	37.0	4.0	1.21e+03	0.75	0.26	9.54	13.99	0.93
160000	37.0	4.5	1.21e+03	0.29	0.08	5.67	23.80	1.47
160000	37.1	3.5	1.52e+03	2.66	1.09	20.57	11.18	0.80
160000	37.1	4.0	1.52e+03	0.78	0.27	10.47	15.64	1.04
160000	37.1	4.5	1.52e+03	0.29	0.08	6.02	25.66	1.59
160000	37.2	3.5	1.92e+03	2.81	1.15	23.49	13.07	0.94
160000	37.2	4.0	1.92e+03	0.82	0.28	11.51	17.53	1.17
160000	37.2	4.5	1.92e+03	0.30	0.08	6.37	27.56	1.71
160000	37.3	3.5	2.41e+03	2.97	1.22	26.78	15.27	1.10
160000	37.3	4.0	2.41e+03	0.87	0.30	12.63	19.61	1.32
160000	37.3	4.5	2.41e+03	0.30	0.09	6.75	29.60	1.84
160000	37.4	3.5	3.04e+03	3.14	1.28	30.43	17.78	1.28
160000	37.4	4.0	3.04e+03	0.92	0.31	13.85	21.92	1.48
160000	37.4	4.5	3.04e+03	0.31	0.09	7.15	31.74	1.97
160000	37.5	3.5	3.83e+03	3.31	1.35	34.50	20.65	1.49
160000	37.5	4.0	3.83e+03	0.97	0.33	15.19	24.50	1.66
160000	37.5	4.5	3.83e+03	0.32	0.09	7.57	33.99	2.12
160000	37.6	3.5	4.82e+03	3.51	1.43	39.08	23.98	1.74
160000	37.6	4.0	4.82e+03	1.03	0.34	16.63	27.33	1.86
160000	37.6	4.5	4.82e+03	0.33	0.09	8.00	36.27	2.27
180000	36.6	3.5	3.46e+02	2.04	0.83	10.43	6.05	0.44
180000	36.6	4.0	3.46e+02	0.64	0.22	6.60	9.77	0.62
180000	36.6	4.5	3.46e+02	0.27	0.08	4.46	18.32	1.11
180000	36.7	3.5	4.35e+02	2.15	0.88	12.05	7.05	0.51
180000	36.7	4.0	4.35e+02	0.66	0.23	7.23	10.82	0.69
180000	36.7	4.5	4.35e+02	0.28	0.08	4.77	19.89	1.21
180000	36.8	3.5	5.48e+02	2.27	0.93	13.88	8.21	0.59
180000	36.8	4.0	5.48e+02	0.69	0.24	7.93	12.02	0.78
180000	36.8	4.5	5.48e+02	0.28	0.08	5.08	21.45	1.31
180000	36.9	3.5	6.90e+02	2.40	0.98	15.97	9.59	0.69
180000	36.9	4.0	6.90e+02	0.72	0.25	8.73	13.41	0.87
180000	36.9	4.5	6.90e+02	0.29	0.08	5.39	23.02	1.40
180000	37.0	3.5	8.68e+02	2.53	1.04	18.33	11.19	0.81
180000	37.0	4.0	8.69e+02	0.75	0.26	9.58	14.95	0.98
180000	37.0	4.5	8.69e+02	0.29	0.08	5.72	24.76	1.51
180000	37.1	3.5	1.09e+03	2.68	1.10	21.03	13.07	0.95
180000	37.1	4.0	1.09e+03	0.79	0.27	10.54	16.73	1.10
180000	37.1	4.5	1.09e+03	0.30	0.08	6.05	26.52	1.62
180000	37.2	3.5	1.38e+03	2.83	1.16	24.04	15.24	1.11
180000	37.2	4.0	1.38e+03	0.83	0.28	11.58	18.70	1.24
180000	37.2	4.5	1.38e+03	0.30	0.08	6.40	28.44	1.74
180000	37.3	3.5	1.73e+03	2.99	1.22	27.48	17.78	1.30
180000	37.3	4.0	1.73e+03	0.88	0.30	12.73	20.95	1.40
180000	37.3	4.5	1.73e+03	0.31	0.09	6.79	30.52	1.87
180000	37.4	3.5	2.18e+03	3.16	1.29	31.31	20.69	1.51
180000	37.4	4.0	2.18e+03	0.93	0.31	13.99	23.47	1.57
180000	37.4	4.5	2.18e+03	0.32	0.09	7.19	32.71	2.00
180000	37.5	3.5	2.75e+03	3.34	1.36	35.59	24.05	1.76
180000	37.5	4.0	2.75e+03	0.99	0.33	15.38	26.29	1.77
180000	37.5	4.5	2.75e+03	0.33	0.09	7.60	34.97	2.15
180000	37.6	3.5	3.46e+03	3.54	1.44	40.35	27.89	2.05
180000	37.6	4.0	3.46e+03	1.05	0.35	16.91	29.48	1.99
180000	37.6	4.5	3.46e+03	0.34	0.09	8.06	37.45	2.31
