1.00e+15 1.4852e-17 1.6142e-18 2.1006e-13 1.2556e-12 8.4394e-14 8.3678e-12 3.7966e-13 2.0424e-11 1.0428e-10 2.0664e-11 1.4906e-09 1.5802e-12 5.2473e-11 895.78 2.8300e-01 80 37.6
1.00e+15 8.1944e-18 8.9137e-19 5.2938e-14 3.3678e-13 2.2748e-14 1.2722e-12 8.8463e-14 2.5130e-12 1.1720e-11 2.2912e-12 1.3770e-10 5.9025e-13 5.8487e-12 798.10 1.0500e-01 100 36.6
1.00e+15 8.8175e-18 9.5904e-19 6.0920e-14 3.8713e-13 2.6125e-14 1.5393e-12 1.0294e-13 3.1093e-12 1.4835e-11 2.9036e-12 1.7680e-10 6.2377e-13 7.3318e-12 810.64 1.1700e-01 100 36.7
1.00e+15 9.5553e-18 1.0392e-18 7.0266e-14 4.4584e-13 3.0061e-14 1.8598e-12 1.2003e-13 3.8341e-12 1.8712e-11 3.6673e-12 2.2692e-10 6.6551e-13 9.2002e-12 819.25 1.3100e-01 100 36.8
1.00e+15 1.0414e-17 1.1324e-18 8.1139e-14 5.1403e-13 3.4630e-14 2.2428e-12 1.4007e-13 4.7109e-12 2.3512e-11 4.6144e-12 2.9042e-10 7.1719e-13 1.1535e-11 833.75 1.4700e-01 100 36.9
1.00e+15 1.1408e-17 1.2403e-18 9.3738e-14 5.9287e-13 3.9909e-14 2.6997e-12 1.6353e-13 5.7684e-12 2.9429e-11 5.7843e-12 3.7028e-10 7.8087e-13 1.4440e-11 849.00 1.6300e-01 100 37.0
1.00e+15 1.2553e-17 1.3647e-18 1.0851e-13 6.8463e-13 4.6053e-14 3.2448e-12 1.9091e-13 7.0452e-12 3.6725e-11 7.2293e-12 4.7156e-10 8.5957e-13 1.8071e-11 846.38 1.8000e-01 100 37.1
1.00e+15 1.3863e-17 1.5071e-18 1.2544e-13 7.8999e-13 5.3100e-14 3.8941e-12 2.2283e-13 8.5824e-12 4.5690e-11 9.0087e-12 5.9892e-10 9.5641e-13 2.2578e-11 865.40 1.9900e-01 100 37.2
1.00e+15 1.5373e-17 1.6710e-18 1.4523e-13 9.1209e-13 6.1267e-14 4.6662e-12 2.6002e-13 1.0430e-11 5.6688e-11 1.1196e-11 7.5888e-10 1.0755e-12 2.8176e-11 861.00 2.1900e-01 100 37.3
1.00e+15 1.7085e-17 1.8571e-18 1.6791e-13 1.0523e-12 7.0637e-14 5.5818e-12 3.0310e-13 1.2645e-11 7.0153e-11 1.3878e-11 9.6021e-10 1.2217e-12 3.5121e-11 872.73 2.4100e-01 100 37.4
1.00e+15 1.9048e-17 2.0703e-18 1.9414e-13 1.2135e-12 8.1409e-14 6.6655e-12 3.5304e-13 1.5295e-11 8.6601e-11 1.7161e-11 1.2122e-09 1.4008e-12 4.3711e-11 875.62 2.6400e-01 100 37.5
1.00e+15 2.1290e-17 2.3138e-18 2.2426e-13 1.3984e-12 9.3756e-14 7.9443e-12 4.1080e-13 1.8454e-11 1.0665e-10 2.1171e-11 1.5265e-09 1.6198e-12 5.4306e-11 884.32 2.8872e-01 100 37.6
1.00e+15 9.2597e-18 1.0073e-18 5.3582e-14 3.4629e-13 2.3392e-14 1.2121e-12 8.9242e-14 2.3273e-12 1.0649e-11 2.0815e-12 1.3467e-10 5.9082e-13 5.7896e-12 813.00 1.0400e-01 120 36.6
1.00e+15 9.9612e-18 1.0835e-18 6.1689e-14 3.9817e-13 2.6873e-14 1.4685e-12 1.0403e-13 2.8771e-12 1.3421e-11 2.6262e-12 1.7343e-10 6.2490e-13 7.2737e-12 830.50 1.1700e-01 120 36.7
1.00e+15 1.0796e-17 1.1741e-18 7.1226e-14 4.5887e-13 3.0944e-14 1.7751e-12 1.2143e-13 3.5428e-12 1.6856e-11 3.3020e-12 2.2273e-10 6.6725e-13 9.1367e-12 838.04 1.3100e-01 120 36.8
1.00e+15 1.1768e-17 1.2797e-18 8.2341e-14 5.2945e-13 3.5674e-14 2.1426e-12 1.4189e-13 4.3490e-12 2.1108e-11 4.1395e-12 2.8554e-10 7.1981e-13 1.1474e-11 849.04 1.4600e-01 120 36.9
1.00e+15 1.2901e-17 1.4027e-18 9.5266e-14 6.1135e-13 4.1160e-14 2.5817e-12 1.6586e-13 5.3219e-12 2.6353e-11 5.1739e-12 3.6471e-10 7.8475e-13 1.4385e-11 857.48 1.6300e-01 120 37.0
1.00e+15 1.4203e-17 1.5442e-18 1.1036e-13 7.0646e-13 4.7531e-14 3.1075e-12 1.9390e-13 6.4994e-12 3.2831e-11 6.4528e-12 4.6533e-10 8.6524e-13 1.8030e-11 862.71 1.8000e-01 120 37.1
1.00e+15 1.5702e-17 1.7070e-18 1.2787e-13 8.1648e-13 5.4894e-14 3.7336e-12 2.2660e-13 7.9147e-12 4.0787e-11 8.0252e-12 5.9205e-10 9.6440e-13 2.2560e-11 866.41 1.9900e-01 120 37.2
1.00e+15 1.7412e-17 1.8927e-18 1.4802e-13 9.4311e-13 6.3366e-14 4.4802e-12 2.6472e-13 9.6184e-12 5.0566e-11 9.9599e-12 7.5196e-10 1.0867e-12 2.8203e-11 883.35 2.1900e-01 120 37.3
1.00e+15 1.9376e-17 2.1061e-18 1.7140e-13 1.0893e-12 7.3142e-14 5.3659e-12 3.0904e-13 1.1657e-11 6.2527e-11 1.2329e-11 9.5216e-10 1.2369e-12 3.5192e-11 890.22 2.4100e-01 120 37.4
1.00e+15 2.1602e-17 2.3479e-18 1.9838e-13 1.2577e-12 8.4397e-14 6.4145e-12 3.6027e-13 1.4093e-11 7.7137e-11 1.5226e-11 1.2037e-09 1.4213e-12 4.3855e-11 893.26 2.6400e-01 120 37.5
1.00e+15 2.4151e-17 2.6248e-18 2.2945e-13 1.4510e-12 9.7312e-14 7.6509e-12 4.1957e-13 1.6988e-11 9.4903e-11 1.8752e-11 1.5174e-09 1.6469e-12 5.4542e-11 895.14 2.8900e-01 120 37.6
