1.00e+15	0.00	0.00	0.48	1.65	0.11	7.01	0.44	14.68	70.95	13.88	220.37	2.06	7.54	1608	0.02	120000	36.9	3.5
1.00e+15	0.00	0.00	0.57	1.92	0.13	8.57	0.52	18.28	90.06	17.63	285.23	2.25	9.46	1636	0.02	120000	37.0	3.5
1.00e+15	0.00	0.00	0.66	2.24	0.15	10.48	0.62	22.74	114.20	22.39	368.02	2.48	11.90	1615	0.02	120000	37.1	3.5
1.00e+15	0.00	0.00	0.78	2.61	0.18	12.80	0.73	28.27	144.64	28.38	473.97	2.78	14.98	1655	0.02	120000	37.2	3.5
1.00e+15	0.00	0.00	0.91	3.06	0.21	15.64	0.87	35.10	182.97	35.94	609.88	3.15	18.89	1666	0.02	120000	37.3	3.5
1.00e+15	0.00	0.00	1.07	3.57	0.24	19.09	1.03	43.55	231.28	45.49	783.59	3.61	23.84	1678	0.03	120000	37.4	3.5
1.00e+15	0.00	0.00	1.26	4.18	0.28	23.30	1.22	53.98	292.04	57.50	1005.18	4.19	30.11	1674	0.03	120000	37.5	3.5
1.00e+15	0.00	0.00	1.47	4.89	0.33	28.41	1.44	66.84	368.53	72.64	1287.55	4.93	38.04	1714	0.03	120000	37.6	3.5
1.00e+15	0.00	0.00	0.32	1.09	0.08	3.49	0.26	6.71	28.61	5.58	91.71	1.70	3.82	3309	0.01	140000	36.6	3.5
1.00e+15	0.00	0.00	0.36	1.23	0.08	4.27	0.31	8.38	36.26	7.08	119.14	1.79	4.71	3003	0.01	140000	36.7	3.5
1.00e+15	0.00	0.00	0.41	1.41	0.10	5.24	0.36	10.46	45.95	8.98	154.62	1.91	5.85	2748	0.01	140000	36.8	3.5
1.00e+15	0.00	0.00	0.48	1.63	0.11	6.42	0.43	13.06	58.29	11.40	200.82	2.05	7.32	2487	0.02	140000	36.9	3.5
1.00e+15	0.00	0.00	0.55	1.89	0.13	7.86	0.51	16.27	73.78	14.45	259.72	2.23	9.17	2272	0.02	140000	37.0	3.5
1.00e+15	0.00	0.00	0.65	2.20	0.15	9.63	0.60	20.26	93.43	18.31	335.67	2.47	11.54	2090	0.02	140000	37.1	3.5
1.00e+15	0.00	0.00	0.76	2.56	0.17	11.79	0.71	25.22	118.30	23.20	433.24	2.76	14.54	1956	0.02	140000	37.2	3.5
1.00e+15	0.00	0.00	0.89	2.99	0.20	14.44	0.85	31.37	149.67	29.37	558.27	3.13	18.35	1856	0.02	140000	37.3	3.5
1.00e+15	0.00	0.00	1.04	3.50	0.24	17.67	1.00	38.99	189.24	37.17	717.95	3.59	23.18	1839	0.03	140000	37.4	3.5
1.00e+15	0.00	0.00	1.23	4.09	0.28	21.61	1.19	48.41	239.08	46.99	921.45	4.17	29.30	1780	0.03	140000	37.5	3.5
1.00e+15	0.00	0.00	1.44	4.79	0.32	26.41	1.41	60.06	301.91	59.38	1184.42	4.91	37.08	1775	0.03	140000	37.6	3.5
1.00e+15	0.00	0.00	0.84	2.49	0.18	3.23	0.27	5.95	24.16	4.71	93.77	1.69	4.81	3776	0.02	160000	36.6	3.5
1.00e+15	0.00	0.00	0.96	2.83	0.21	3.95	0.31	7.44	30.52	5.95	121.39	1.78	5.87	3779	0.02	160000	36.7	3.5
1.00e+15	0.00	0.00	1.10	3.22	0.24	4.84	0.37	9.28	38.55	7.53	156.84	1.90	7.20	3777	0.02	160000	36.8	3.5
1.00e+15	0.00	0.00	1.24	3.63	0.27	5.91	0.43	11.56	48.67	9.52	201.73	2.04	8.82	3840	0.02	160000	36.9	3.5
1.00e+15	0.00	0.00	1.41	4.13	0.30	7.24	0.51	14.40	61.50	12.03	259.76	2.22	10.89	3830	0.02	160000	37.0	3.5
1.00e+15	0.00	0.00	1.60	4.68	0.34	8.86	0.60	17.93	77.68	15.21	333.63	2.45	13.45	3840	0.02	160000	37.1	3.5
1.00e+15	0.00	0.00	1.81	5.30	0.39	10.85	0.71	22.34	98.18	19.24	428.46	2.74	16.68	3839	0.03	160000	37.2	3.5
1.00e+15	0.00	0.00	2.06	6.01	0.44	13.29	0.84	27.81	124.05	24.33	549.21	3.11	20.72	3823	0.03	160000	37.3	3.5
1.00e+15	0.00	0.00	2.27	6.67	0.48	16.28	0.99	34.59	156.61	30.74	702.19	3.57	25.67	3869	0.03	160000	37.4	3.5
1.00e+15	0.00	0.00	2.54	7.47	0.54	19.91	1.18	42.95	197.50	38.79	896.42	4.15	31.90	3857	0.03	160000	37.5	3.5
1.00e+15	0.00	0.00	2.81	8.30	0.60	24.37	1.39	53.34	249.21	48.99	1145.30	4.88	39.73	3855	0.04	160000	37.6	3.5
1.00e+15	0.00	0.00	1.17	3.45	0.26	3.17	0.29	5.51	21.75	4.23	94.92	1.69	5.41	3824	0.02	180000	36.6	3.5
1.00e+15	0.00	0.00	1.36	3.98	0.30	3.87	0.33	6.87	27.36	5.33	122.78	1.77	6.60	3848	0.02	180000	36.7	3.5
1.00e+15	0.00	0.00	1.58	4.59	0.35	4.71	0.39	8.56	34.47	6.73	158.65	1.89	8.09	3845	0.02	180000	36.8	3.5
1.00e+15	0.00	0.00	1.84	5.34	0.40	5.75	0.46	10.67	43.44	8.49	204.96	2.03	9.99	3801	0.02	180000	36.9	3.5
1.00e+15	0.00	0.00	2.13	6.16	0.46	7.02	0.54	13.26	54.69	10.69	263.31	2.21	12.29	3826	0.03	180000	37.0	3.5
1.00e+15	0.00	0.00	2.47	7.10	0.53	8.57	0.63	16.52	69.00	13.51	337.88	2.43	15.17	3838	0.03	180000	37.1	3.5
1.00e+15	0.00	0.00	2.86	8.20	0.61	10.48	0.75	20.56	87.00	17.04	433.78	2.72	18.78	3846	0.03	180000	37.2	3.5
1.00e+15	0.00	0.00	3.30	9.42	0.71	12.81	0.88	25.61	109.77	21.52	555.49	3.08	23.23	3866	0.03	180000	37.3	3.5
1.00e+15	0.00	0.00	3.79	10.81	0.81	15.66	1.04	31.84	138.37	27.15	709.67	3.54	28.76	3901	0.04	180000	37.4	3.5
1.00e+15	0.00	0.00	4.41	12.53	0.94	19.14	1.22	39.56	174.28	34.22	908.14	4.11	35.83	3853	0.04	180000	37.5	3.5
1.00e+15	0.00	0.00	5.04	14.29	1.07	23.39	1.44	49.13	219.61	43.14	1159.24	4.84	44.47	3873	0.04	180000	37.6	3.5
1.01e+18	0.02	0.00	39.23	23.82	1.62	9.60	0.44	21.78	86.44	16.72	1016.96	3.11	145.64	76	0.16	60000	37.0	3.5
1.01e+18	0.01	0.00	44.36	29.27	2.03	11.82	0.52	27.54	109.64	21.25	1245.42	3.40	165.96	82	0.16	60000	37.1	3.5
1.01e+18	0.01	0.00	50.00	35.73	2.51	14.54	0.61	34.77	138.80	26.95	1526.21	3.76	189.17	88	0.17	60000	37.2	3.5
1.01e+18	0.01	0.00	56.16	43.32	3.09	17.87	0.72	43.83	175.35	34.12	1867.77	4.19	215.60	95	0.17	60000	37.3	3.5
1.01e+18	0.01	0.00	62.91	52.21	3.78	21.96	0.85	55.19	221.14	43.13	2288.33	4.72	245.89	102	0.17	60000	37.4	3.5
1.01e+18	0.01	0.00	70.33	62.54	4.58	26.95	1.01	69.42	278.40	54.42	2804.41	5.37	280.84	110	0.18	60000	37.5	3.5
1.01e+18	0.01	0.00	78.49	74.50	5.52	33.06	1.19	87.26	349.96	68.58	3436.81	6.16	321.04	118	0.18	60000	37.6	3.5
1.01e+18	0.02	0.01	35.13	18.07	1.19	9.58	0.49	21.67	98.64	19.25	1014.98	3.22	143.42	72	0.15	80000	37.0	3.5
1.01e+18	0.02	0.00	39.97	22.38	1.50	11.73	0.58	27.11	124.99	24.44	1247.15	3.54	163.96	77	0.16	80000	37.1	3.5
1.01e+18	0.02	0.00	45.30	27.55	1.88	14.36	0.68	33.91	158.10	30.97	1533.06	3.92	187.50	83	0.16	80000	37.2	3.5
1.01e+18	0.01	0.00	51.18	33.69	2.34	17.58	0.81	42.36	199.63	39.18	1883.50	4.40	214.46	89	0.16	80000	37.3	3.5
1.01e+18	0.01	0.00	57.64	40.91	2.88	21.50	0.95	52.87	251.64	49.50	2310.67	4.98	245.29	96	0.17	80000	37.4	3.5
1.01e+18	0.01	0.00	64.78	49.40	3.53	26.28	1.13	65.95	316.74	62.45	2840.83	5.69	281.06	103	0.17	80000	37.5	3.5
1.01e+18	0.01	0.00	72.67	59.29	4.29	32.11	1.34	82.20	398.05	78.67	3488.54	6.57	322.24	110	0.18	80000	37.6	3.5
1.01e+18	0.03	0.01	32.19	14.83	0.96	9.02	0.52	19.86	99.50	19.50	1011.07	3.24	141.81	70	0.15	100000	37.0	3.5
1.01e+18	0.02	0.01	36.71	18.45	1.22	11.02	0.61	24.73	126.11	24.75	1243.48	3.56	162.27	75	0.15	100000	37.1	3.5
1.01e+18	0.02	0.01	41.72	22.81	1.53	13.45	0.73	30.76	159.55	31.37	1530.04	3.96	185.76	81	0.16	100000	37.2	3.5
1.01e+18	0.02	0.00	47.24	28.00	1.92	16.42	0.86	38.24	201.56	39.70	1882.63	4.44	212.72	87	0.16	100000	37.3	3.5
1.01e+18	0.02	0.00	53.32	34.13	2.37	20.04	1.02	47.49	254.30	50.17	2312.32	5.03	243.56	93	0.16	100000	37.4	3.5
1.01e+18	0.01	0.00	60.05	41.35	2.92	24.45	1.20	58.94	320.51	63.35	2844.48	5.76	279.29	100	0.17	100000	37.5	3.5
