1.00e+15	0.00	0.00	0.25	0.72	0.05	3.82	0.22	7.67	29.92	5.77	372.54	1.72	15.51	1541	0.10	60000	36.6	3.5
1.00e+15	0.00	0.00	0.29	0.82	0.06	4.66	0.25	9.67	37.95	7.32	477.47	1.80	19.38	1564	0.11	60000	36.7	3.5
1.00e+15	0.00	0.00	0.33	0.95	0.07	5.68	0.29	12.14	47.92	9.26	611.47	1.91	24.24	1596	0.12	60000	36.8	3.5
1.00e+15	0.00	0.00	0.38	1.10	0.08	6.90	0.34	15.18	60.25	11.66	781.59	2.05	30.30	1589	0.14	60000	36.9	3.5
1.00e+15	0.00	0.00	0.44	1.26	0.09	8.36	0.39	18.90	75.44	14.63	996.38	2.21	37.85	1633	0.15	60000	37.0	3.5
1.00e+15	0.00	0.00	0.50	1.46	0.10	10.09	0.45	23.45	94.08	18.27	1266.14	2.41	47.23	1607	0.17	60000	37.1	3.5
1.00e+15	0.00	0.00	0.58	1.68	0.12	12.16	0.53	29.00	116.92	22.76	1606.14	2.66	58.86	1641	0.18	60000	37.2	3.5
1.00e+15	0.00	0.00	0.67	1.95	0.13	14.62	0.61	35.76	144.82	28.24	2031.64	2.96	73.24	1616	0.20	60000	37.3	3.5
1.00e+15	0.00	0.00	0.77	2.24	0.15	17.54	0.71	43.96	178.81	34.95	2563.27	3.33	90.97	1664	0.22	60000	37.4	3.5
1.00e+15	0.00	0.00	0.89	2.58	0.18	21.00	0.82	53.88	220.09	43.11	3226.28	3.78	112.83	1661	0.24	60000	37.5	3.5
1.00e+15	0.00	0.00	1.02	2.98	0.20	25.07	0.96	65.87	270.10	53.03	4054.31	4.33	139.74	1663	0.27	60000	37.6	3.5
1.00e+15	0.00	0.00	0.28	0.89	0.06	3.91	0.24	7.97	34.41	6.69	404.29	1.76	17.11	1620	0.10	80000	36.6	3.5
1.00e+15	0.00	0.00	0.32	1.02	0.07	4.74	0.28	9.93	43.57	8.48	518.77	1.85	21.41	1637	0.12	80000	36.7	3.5
